,Unnamed: 0,marca,nombre,presentacion,producto_id,precio,sucursal_id,semana,comercioid,banderaid,banderadescripcion,comerciorazonsocial,provincia,localidad,direccion,lat,lng,sucursalnombre,sucursaltipo
1210,1210,VIM,Desifectante Liquido Gatillo Vim 500 Ml,450.0 ml,7791290787414,123.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1211,1211,CIF,Lavavajilla Antibacterial Active Gel Cif 500 Ml,500.0 ml,7791290787575,125.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1212,1212,COMFORT,Suavizante Comfort Intense Original Dp 1 Lt,1.0 lt,7791290788190,473.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1213,1213,DOVE,Desodorante Antitranspirante Aerosol Dove Men Care Clean Comfort 89 Gr,89.0 gr,7791293012087,183.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1214,1214,DOVE,Desodorante Antitranspirante en Aerosol Dove Invisible Dry 89 Gr,89.0 gr,7791293022819,183.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1215,1215,AXE,Desodorante Antitranspirante en Aerosol Axe Dark Temptation 90 Gr,90.0 gr,7791293025889,109.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1216,1216,SUAVE,Acondicionador Manzana Verde Suave 930 Ml,930.0 ml,7791293030289,134.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1217,1217,SEDAL,Acondicionador Ceramidas Sedal 190 Ml,190.0 ml,7791293030661,126.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1218,1218,SEDAL,Shampoo Ceramidas Sedal 650 Ml,650.0 ml,7791293031033,205.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1219,1219,REXONA,Jabon de Tocador Menta Cotton Fresh Rexona 125 Gr,125.0 gr,7791293031941,42.5,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1220,1220,REXONA,Desodorante Antitranspirante Aerosol Nutritive Rexona 90 Gr,90.0 gr,7791293032405,155.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
